Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,AOV
B-25681,1096,658,7,Electronics,Electronic Games,COD,156.57142857142858
B-26055,5729,64,14,Furniture,Chairs,EMI,409.2142857142857
B-25955,2927,146,8,Furniture,Bookcases,EMI,365.875
B-26093,2847,712,8,Electronics,Printers,Credit Card,355.875
B-25602,2617,1151,4,Electronics,Phones,Credit Card,654.25
B-25881,2244,247,4,Clothing,Trousers,Credit Card,561.0
B-25696,275,-275,4,Clothing,Saree,COD,68.75
B-25687,387,-213,5,Clothing,Saree,UPI,77.4
B-25643,50,-44,2,Clothing,Hankerchief,UPI,25.0
B-25851,135,-54,5,Clothing,Kurti,COD,27.0
B-25703,231,-190,9,Clothing,Hankerchief,COD,25.666666666666668
B-25887,2125,-234,6,Electronics,Printers,EMI,354.1666666666667
B-25923,3873,-891,6,Electronics,Phones,Credit Card,645.5
B-25756,729,-492,5,Furniture,Bookcases,UPI,145.8
B-25761,2188,1050,5,Furniture,Bookcases,Credit Card,437.6
B-25655,6,-3,1,Clothing,Hankerchief,UPI,6.0
B-25786,1854,433,5,Furniture,Bookcases,Credit Card,370.8
B-26095,6,1,1,Clothing,Kurti,UPI,6.0
B-25853,2093,721,5,Furniture,Chairs,Credit Card,418.6
B-25735,7,-1,2,Clothing,Skirt,UPI,3.5
B-25910,1622,-624,5,Furniture,Tables,Credit Card,324.4
B-25950,1622,95,5,Electronics,Printers,Credit Card,324.4
B-25744,373,254,6,Electronics,Printers,UPI,62.166666666666664
B-25845,82,-33,4,Clothing,Kurti,COD,20.5
B-26001,8,2,2,Clothing,Skirt,UPI,4.0
B-25830,1954,782,3,Electronics,Phones,Credit Card,651.3333333333334
B-25842,1543,370,8,Electronics,Printers,Credit Card,192.875
B-25778,1506,-266,6,Electronics,Printers,Credit Card,251.0
B-25686,1829,-56,6,Furniture,Tables,Credit Card,304.8333333333333
B-25754,9,-1,3,Clothing,Skirt,UPI,3.0
B-26048,1461,202,5,Furniture,Tables,EMI,292.2
B-25816,391,113,8,Clothing,Stole,COD,48.875
B-26022,1824,1303,8,Electronics,Phones,Credit Card,228.0
B-25883,16,-15,4,Clothing,Hankerchief,UPI,4.0
B-26003,1745,122,2,Furniture,Tables,Credit Card,872.5
B-26097,663,-212,5,Electronics,Printers,UPI,132.6
B-25710,10,-1,1,Clothing,Leggings,UPI,10.0
B-25797,1630,802,5,Furniture,Tables,EMI,326.0
B-25618,12,0,2,Clothing,Hankerchief,UPI,6.0
B-25723,12,-7,2,Clothing,Leggings,UPI,6.0
B-25755,1709,564,3,Clothing,Trousers,Credit Card,569.6666666666666
B-25788,12,3,1,Clothing,Stole,UPI,12.0
B-25681,1625,-77,3,Electronics,Phones,EMI,541.6666666666666
B-25991,13,5,2,Clothing,Hankerchief,UPI,6.5
B-25779,1361,980,3,Furniture,Tables,COD,453.6666666666667
B-25909,1622,-448,3,Electronics,Phones,EMI,540.6666666666666
B-25943,1547,340,6,Electronics,Accessories,EMI,257.8333333333333
B-25935,1657,460,4,Furniture,Chairs,Credit Card,414.25
B-25613,1603,0,9,Clothing,Saree,Credit Card,178.11111111111111
B-25729,1549,-439,4,Electronics,Phones,Credit Card,387.25
B-25772,1183,106,4,Electronics,Printers,EMI,295.75
B-25655,74,-123,8,Clothing,Skirt,UPI,9.25
B-25640,1499,239,13,Clothing,Saree,Credit Card,115.3076923076923
B-25810,1120,199,6,Clothing,Saree,EMI,186.66666666666666
B-25801,15,-2,1,Clothing,T-shirt,Debit Card,15.0
B-26085,1487,624,3,Clothing,Trousers,Credit Card,495.6666666666667
B-25868,1118,206,2,Furniture,Tables,Credit Card,559.0
B-25714,11,-5,2,Clothing,Hankerchief,COD,5.5
B-25784,15,4,1,Clothing,Hankerchief,Debit Card,15.0
B-25608,1364,1864,5,Furniture,Tables,Credit Card,272.8
B-26051,1337,147,7,Electronics,Printers,Credit Card,191.0
B-25900,15,2,1,Clothing,Leggings,Debit Card,15.0
B-25760,322,-193,5,Electronics,Printers,UPI,64.4
B-25762,1316,527,7,Electronics,Electronic Games,Credit Card,188.0
